id,name,state,network,lat,lon,elevation_m,archive_begin,archive_end,online,in_range,km_outside,n_days,first_date,last_date,complete_seasons,complete_last,live_ok,usable
LVJ,Pearland Regional,TX,TX_ASOS,29.5189,-95.2417,13.164371,1998-11-01,,True,False,56.9,9333.0,2001-01-01,2026-09-20,24.0,True,True,True
MCJ,Houston Dunn,TX,TX_ASOS,29.714,-95.395,22.525835,2008-09-11,,True,False,68.8,6319.0,2008-09-11,2026-09-20,14.0,False,True,False
OCH,NACOGDOCHES (AWOS),TX,TX_ASOS,31.5778,-94.7094,108.0,1992-02-26,,True,False,27.8,9118.0,2001-01-01,2026-09-20,22.0,False,True,False
ORG,Orange,TX,TX_ASOS,30.0692,-93.8036,4.0,2005-08-31,,True,False,14.7,7560.0,2005-08-29,2026-09-20,18.0,True,True,True
OSA,MOUNT PLEASANT AIRPORT,TX,TX_ASOS,33.0956,-94.9614,111.0,2003-02-13,,True,False,173.2,8491.0,2003-02-13,2026-09-20,22.0,True,True,False
PRX,PARIS/COX FIELD,TX,TX_ASOS,33.6366,-95.4508,167.0,1944-05-17,,True,False,247.1,9221.0,2001-01-01,2026-09-20,22.0,True,True,False
PSN,PALESTINE,TX,TX_ASOS,31.7797,-95.7063,129.0,1947-11-01,,True,False,92.3,8241.0,2003-11-07,2026-09-20,21.0,True,True,True
RFI,Henderson,TX,TX_ASOS,32.1417,-94.8517,134.7,2008-07-21,,True,False,80.9,6448.0,2008-02-17,2026-09-20,10.0,False,True,False
RPE,SABINE PASS,TX,TX_ASOS,29.7,-93.95,3.0,1986-10-01,2010-12-09,False,False,39.5,,,,,,False,False
SGR,HOUSTON/HULL FIELD,TX,TX_ASOS,29.6222,-95.6565,2.0,1996-07-01,,True,False,94.6,9393.0,2001-01-01,2026-09-20,26.0,True,True,True
SLR,SULPHUR_SPRINGS,TX,TX_ASOS,33.16,-95.62,149.0,2004-10-27,,True,False,212.4,7947.0,2004-10-27,2026-09-20,21.0,False,True,False
T41,La Porte,TX,TX_ASOS,29.6692,-95.0641,7.0,2019-10-12,,True,False,37.0,2513.0,2019-10-11,2026-09-20,5.0,False,True,False
T78,Liberty,TX,TX_ASOS,30.0778,-94.6986,21.857124,2021-08-21,,True,False,14.7,1853.0,2021-08-21,2026-09-20,5.0,True,True,False
TME,Houston Exec,TX,TX_ASOS,29.805,-95.8979,50.6,2009-02-04,,True,False,115.9,5940.0,2009-11-30,2026-09-20,12.0,True,True,False
TYR,TYLER/POUNDS FLD,TX,TX_ASOS,32.3541,-95.4024,166.0,1934-09-16,,True,False,133.4,9391.0,2001-01-01,2026-09-20,26.0,True,True,False
UTS,HUNTSVILLE MUNICIPAL AIRPORT,TX,TX_ASOS,30.7469,-95.5872,112.0,1997-02-28,,True,False,41.7,9376.0,2001-01-01,2026-09-20,26.0,True,True,True
VAF,Boomvang,GM,TX_ASOS,27.3536,-94.6253,0.0,2010-07-22,,True,False,249.4,5384.0,2010-07-22,2026-09-20,9.0,True,True,False
0R3,Abbeville,LA,LA_ASOS,29.9758,-92.0842,4.6,2008-07-09,2011-08-25,False,False,60.7,,,,,,False,False
0R4,Vidalia,LA,LA_ASOS,31.562,-91.5065,14.531767,2016-05-26,,True,False,19.2,3258.0,2016-05-26,2026-09-20,7.0,True,True,False
1B7,BOOTHVILLE/R L SUGGS HELIPORT,LA,LA_ASOS,29.35,-89.4333,1.0,1999-10-01,2016-11-03,False,False,90.0,,,,,,False,False
2GL,GALLIANO HELIPRT,LA,LA_ASOS,29.409,-90.288,3.0,2004-02-28,2008-06-25,False,False,99.4,,,,,,False,False
3B6,EUGENE ISLAND 330,GM,LA_ASOS,28.22,-91.68,0.0,2000-01-08,2009-09-30,False,False,250.4,,,,,,False,False
3F3,Mansfield,LA,LA_ASOS,32.0717,-93.764,99.33973,2016-09-15,,True,False,47.1,3406.0,2016-09-15,2026-06-20,9.0,True,False,False
3L4,Grand Chenier,LA,LA_ASOS,29.8,-92.804,4.7830763,1987-01-17,,True,False,52.1,1502.0,2018-09-07,2026-09-20,2.0,True,True,False
3R7,Jennings,LA,LA_ASOS,30.2427,-92.6735,5.5129023,2012-06-01,,True,False,8.2,5113.0,2012-06-01,2026-09-20,14.0,True,True,False
4C0,Oil Platform,LA,LA_ASOS,29.78,-93.18,1.0,2003-01-17,2011-08-29,False,False,47.4,,,,,,False,False
5R8,De Quincy,LA,LA_ASOS,30.4411,-93.4736,27.579348,2012-10-20,,True,True,0.0,4889.0,2012-10-20,2026-09-20,6.0,False,True,False
7N0,New Orleans Downtown,LA,LA_ASOS,29.9527,-90.0827,8.792443,2012-07-26,2023-01-26,False,False,35.9,,,,,,False,False
7R3,AMELIA/LAKE PALOURD,LA,LA_ASOS,29.6931,-91.0986,2.0,1978-04-03,2016-11-03,False,False,81.6,,,,,,False,False
7R4,INTRACOASTAL CITY,LA,LA_ASOS,29.78,-92.13,5.0,1976-01-01,2015-04-26,False,False,74.8,,,,,,False,False
7R5,CAMERON HELIPORT,LA,LA_ASOS,29.7833,-93.3,1.0,1982-05-01,2005-07-31,False,False,47.7,,,,,,False,False
