id,network,name,state,lat,lon,elevation_m,in_range,km_outside,n_seasons
RSW,FL_ASOS,FT MYERS/SW FLORIDA,FL,26.5381,-81.7567,9.0,False,25.4,25
SFB,FL_ASOS,SANFORD/ORLANDO,FL,28.7797,-81.2436,17.0,True,0.0,26
SGJ,FL_ASOS,ST AUGUSTINE AIRPT,FL,29.9592,-81.3397,3.0,True,0.0,26
SPG,FL_ASOS,St Petersburg,FL,27.7651,-82.627,1.0,True,0.0,26
SRQ,FL_ASOS,SARASOTA-BRADENTON,FL,27.4014,-82.5586,9.0,True,0.0,26
SUA,FL_ASOS,WITHAM FIELD AIRPORT/STUART,FL,27.18,-80.22,6.0,False,61.3,24
TLH,FL_ASOS,TALLAHASSEE RGNL,FL,30.3935,-84.3514,21.0,True,0.0,26
TPA,FL_ASOS,TAMPA INTL AIRPORT,FL,27.9619,-82.5403,3.0,True,0.0,26
TTS,FL_ASOS,NASA SHUTTLE FCLTY,FL,28.6149,-80.6944,3.0,False,30.1,22
VPS,FL_ASOS,EGLIN AFB/VALPARAIS,FL,30.4832,-86.5254,26.0,True,0.0,26
VQQ,FL_ASOS,Jacksonville - Cecil Field,FL,30.2187,-81.8767,24.7,True,0.0,21
VRB,FL_ASOS,Vero Beach,FL,27.6556,-80.4179,8.0,False,30.3,26
XMR,FL_ASOS,Cape Canaveral,FL,28.4677,-80.5668,3.0,False,37.1,18
ABY,GA_ASOS,ALBANY MUNICIPAL,GA,31.5355,-84.1945,59.0,True,0.0,26
AGS,GA_ASOS,AUGUSTA/BUSH FIELD,GA,33.3699,-81.9645,45.0,True,0.0,26
AHN,GA_ASOS,ATHENS MUNICIPAL,GA,33.9486,-83.3264,247.0,False,64.3,26
AMG,GA_ASOS,ALMA/BACON CO.,GA,31.5361,-82.5066,61.0,True,0.0,26
ATL,GA_ASOS,ATLANTA INTL ARPT,GA,33.6301,-84.4418,315.0,False,28.4,26
AYS,GA_ASOS,WAYCROSS/WARE CO.,GA,31.2491,-82.3955,46.0,True,0.0,25
BGE,GA_ASOS,BAINBRIDGE/DECATUR COUNTY INDUS,GA,30.9716,-84.6369,43.0,True,0.0,23
BQK,GA_ASOS,BRUNSWICK/GLYNCO,GA,31.2588,-81.4665,8.0,True,0.0,26
CNI,GA_ASOS,Cherokee County,GA,34.3106,-84.4239,372.0,False,21.5,18
CSG,GA_ASOS,COLUMBUS METRO ARPT,GA,32.5161,-84.9422,121.0,True,0.0,26
DBN,GA_ASOS,Dublin,GA,32.5644,-82.9853,94.0,True,0.0,20
DNN,GA_ASOS,DALTON MUNI AIRPORT,GA,34.72,-84.87,216.0,False,40.4,23
DQH,GA_ASOS,DOUGLAS_MUNI_ARPT,GA,31.4767,-82.8606,78.0,True,0.0,18
FFC,GA_ASOS,PEACHTREE CITY,GA,33.3553,-84.5669,264.0,False,20.6,26
FTY,GA_ASOS,ATLANTA/FULTON CO.,GA,33.78,-84.52,256.0,False,11.1,25
GVL,GA_ASOS,GAINSVILLE,GA,34.2719,-83.8303,38.0,False,67.0,26
HQU,GA_ASOS,THOMSON,GA,33.5297,-82.5164,152.0,False,6.8,21
JES,GA_ASOS,Jesup,GA,31.554,-81.8825,32.6,True,0.0,15
JYL,GA_ASOS,SYLVANIA,GA,32.6453,-81.5971,57.0,True,0.0,18
LHW,GA_ASOS,FT STEWART/WRIGHT,GA,31.8891,-81.5623,14.0,True,0.0,19
LSF,GA_ASOS,FORT BENNING,GA,32.3373,-84.9913,71.0,True,0.0,24
MCN,GA_ASOS,MACON/LEWIS WILSON,GA,32.6928,-83.6492,110.0,True,0.0,26
MGE,GA_ASOS,DOBBINS AFB/MARIETT,GA,33.9153,-84.5163,326.0,False,3.0,23
MLJ,GA_ASOS,Milledgeville,GA,33.1542,-83.2407,117.0,True,0.0,17
PDK,GA_ASOS,ATLANTA/DEKALB,GA,33.8756,-84.302,305.0,False,23.2,26
RMG,GA_ASOS,ROME/RUSSELL(RAMOS),GA,34.3478,-85.1611,196.0,True,0.0,24
RYY,GA_ASOS,MARIETTA,GA,34.0131,-84.5986,317.0,True,0.0,21
SAV,GA_ASOS,Savannah - Hilton Head,GA,32.1314,-81.2023,9.0,True,0.0,26
SSI,GA_ASOS,BRUNSWICK/MALCOLM,GA,31.1522,-81.3908,6.0,True,0.0,26
SVN,GA_ASOS,HUNTER (AAF),GA,32.01,-81.146,13.0,True,0.0,24
TVI,GA_ASOS,Thomasville,GA,30.9018,-83.8811,80.0,True,0.0,16
VAD,GA_ASOS,MOODY AFB/VALDOSTA,GA,30.9678,-83.193,71.0,True,0.0,18
VDI,GA_ASOS,VIDALIA MUNI AIRPORT,GA,32.19,-82.37,84.0,True,0.0,25
VPC,GA_ASOS,CARTERSVILLE AIRPORT,GA,34.1232,-84.8487,233.0,True,0.0,25
WDR,GA_ASOS,WINDER,GA,33.9829,-83.6674,287.0,False,75.5,25
WRB,GA_ASOS,WARNER ROBINS AFB,GA,32.6401,-83.5918,90.0,True,0.0,23
ACP,LA_ASOS,OAKDALE/ALLEN PARISH ARPT,LA,30.75,-92.69,33.0,True,0.0,17
AEX,LA_ASOS,ALEXANDRIA INTL/ENGLAND AFB,LA,31.3347,-92.5586,27.0,False,11.7,26
ARA,LA_ASOS,New Iberia - Acadiana,LA,30.0292,-91.8845,7.357297,False,70.7,25
ASD,LA_ASOS,SLIDELL,LA,30.3433,-89.8222,8.0,True,0.0,25
BAD,LA_ASOS,BARKSDALE AFB,LA,32.5019,-93.6626,51.0,False,56.4,18
BKB,LA_ASOS,Fullerton - Fort Polk,LA,31.0964,-92.9781,103.07338,True,0.0,17
BTR,LA_ASOS,BATON ROUGE/RYAN,LA,30.5372,-91.1469,21.0,False,4.4,26
CWF,LA_ASOS,Lake Charles - Chennault Intl,LA,30.2106,-93.1432,4.0,True,0.0,23
DRI,LA_ASOS,DE RIDDER/BEAUREGARD REGIONAL,LA,30.83,-93.34,62.0,True,0.0,19
DTN,LA_ASOS,SHREVEPORT DOWNTOWN,LA,32.5402,-93.745,55.0,False,65.1,25
GAO,LA_ASOS,Galliano,LA,29.4448,-90.2611,-0.39592367,False,94.8,18
HDC,LA_ASOS,HAMMOND MUNI AIRPORT,LA,30.52,-90.42,13.0,True,0.0,21
HUM,LA_ASOS,HOUMA-TERREBONNE,LA,29.5665,-90.6604,3.0,False,85.9,25
LCH,LA_ASOS,Lake Charles,LA,30.1255,-93.2277,4.7374153,False,9.6,26
LFT,LA_ASOS,Lafayette,LA,30.1986,-91.9896,14.588288,False,51.3,26
MLU,LA_ASOS,MONROE REGIONAL,LA,32.5109,-92.0377,24.0,False,28.5,26
MSY,LA_ASOS,New Orleans - Louis Armstrong,LA,29.9933,-90.2511,0.0,False,39.9,26
NBG,LA_ASOS,NEW ORLEANS NAS,LA,29.8253,-90.035,-6.0,False,48.5,22
NEW,LA_ASOS,NEW ORLEANS/LAKEFRO,LA,30.0424,-90.0282,3.0,False,24.9,25
POE,LA_ASOS,FORT POLK (ARMY),LA,31.0448,-93.1916,100.0,True,0.0,22
RSN,LA_ASOS,Ruston,LA,32.5144,-92.5883,95.0,False,18.4,15
SHV,LA_ASOS,SHREVEPORT REGIONAL,LA,32.4472,-93.8244,79.0,False,69.4,26
TVR,LA_ASOS,Vicksburg / Tallulah,LA,32.3481,-91.0299,28.109251,False,39.4,26
UXL,LA_ASOS,Sulphur,LA,30.1314,-93.3761,3.0,False,9.7,18
BIX,MS_ASOS,KEESLER AFB/BILOXI,MS,30.4104,-88.9244,10.0,True,0.0,21
CBM,MS_ASOS,COLUMBUS AFB,MS,33.6438,-88.4438,67.0,False,60.2,19
GPT,MS_ASOS,GULFPORT-BILOXI,MS,30.4073,-89.0701,9.0,True,0.0,26
GTR,MS_ASOS,GOLDEN TRI(AWOS),MS,33.4503,-88.5914,80.0,False,74.8,23
GWO,MS_ASOS,GREENWOOD/LEFLORE,MS,33.4943,-90.0847,47.0,False,60.1,26
HBG,MS_ASOS,HATTIESBURG MUNI,MS,31.2649,-89.2529,46.0,True,0.0,26
HKS,MS_ASOS,JACKSON/HAWKINS FIELD,MS,32.3348,-90.2225,104.0,False,9.0,24
JAN,MS_ASOS,JACKSON/THOMPSON,MS,32.32,-90.08,101.0,False,4.0,26
MCB,MS_ASOS,MCCOMB/LEWIS FIELD,MS,31.18,-90.47,126.0,True,0.0,26
MEI,MS_ASOS,MERIDIAN/KEY FIELD,MS,32.3348,-88.7511,94.0,True,0.0,26
NMM,MS_ASOS,MERIDIAN NAS/MCCAIN,MS,32.5521,-88.5556,97.0,True,0.0,22
PIB,MS_ASOS,PINE BELT RGNL AWOS,MS,31.4671,-89.3371,91.0,True,0.0,22
PQL,MS_ASOS,PASCAGOULA,MS,30.4636,-88.5319,5.0,True,0.0,23
AFP,NC_ASOS,Wadesboro,NC,35.0206,-80.0771,91.4,True,0.0,18
AKH,NC_ASOS,GASTONIA_MCPL_(ASOS),NC,35.1967,-81.1558,244.0,False,72.2,26
ASJ,NC_ASOS,AHOSKIE_TRI_COU,NC,36.3,-77.17,21.0,True,0.0,22
CLT,NC_ASOS,Charlotte / Douglas,NC,35.2226,-80.9543,228.0,False,63.7,26
CPC,NC_ASOS,COLUMBUS_CNTY_MUNI_ARPT,NC,34.2753,-78.7146,30.0,True,0.0,21
CTZ,NC_ASOS,CLINTON,NC,34.9756,-78.3644,45.0,True,0.0,19
DPL,NC_ASOS,KENANSVILLE/DUPLIN_COUNTY,NC,35.0,-77.98,42.0,True,0.0,21
ECG,NC_ASOS,Elizabeth City,NC,36.2577,-76.1716,2.0,False,27.6,26
EDE,NC_ASOS,EDENTON_NORTHEA,NC,36.0277,-76.5671,6.0,True,0.0,25
